number,title,state,closedAt,url,author,assignees,labels,milestone_title,milestone_number,milestone_title_m,milestone_state,milestone_due_on,milestone_description,milestone_start_at
26,Deploy and Document,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/26,claucece,,documentation;Deployment,"Final Testing, Deployment and Documentation",7,"Final Testing, Deployment and Documentation",open,2026-03-09T00:00:00Z,,2026-02-20
25,"Implement ""Badges earned"" card",OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/25,claucece,,for-you,"""For You"" Flow",10,"""For You"" Flow",open,2026-03-06T00:00:00Z,,2026-01-07
24,Implement badge system (local achievements),OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/24,claucece,,accross-features;for-you,Cross-app Features,9,Cross-app Features,open,2026-01-26T00:00:00Z,Implement cross-app features as: location and badges,2025-12-22
23,Implement Notifications opt-in and preferences,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/23,claucece,,accross-features;for-you,Cross-app Features,9,Cross-app Features,open,2026-01-26T00:00:00Z,Implement cross-app features as: location and badges,2025-12-22
22,"Implement ""Fire near you"" card",OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/22,claucece,,for-you,"""For You"" Flow",10,"""For You"" Flow",open,2026-03-06T00:00:00Z,,2026-01-07
21,Add Location permission flow and location awareness,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/21,claucece,,accross-features;for-you,Cross-app Features,9,Cross-app Features,open,2026-01-26T00:00:00Z,Implement cross-app features as: location and badges,2025-12-22
20,Implement Profile card,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/20,claucece,,for-you,"""For You"" Flow",10,"""For You"" Flow",open,2026-03-06T00:00:00Z,,2026-01-07
19,Create the For You tab main screen,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/19,claucece,,for-you,"""For You"" Flow",10,"""For You"" Flow",open,2026-03-06T00:00:00Z,,
18,Implement Resources Tab with Structured Support Sections,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/18,claucece,,documentation;Resources Tab,Resources Flow,6,Resources Flow,open,2026-03-06T00:00:00Z,Setup the Resources flow,2025-12-20
17,Implement Test detail screen,OPEN,,https://github.com/claucece/final-wildfire-safe-implementation/issues/17,claucece,,Test Tab,Tests Flow,4,Tests Flow,open,2026-02-14T00:00:00Z,Setup the Tests flow,2025-12-10
